timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,pressure
1.942893,-0.007564,0.048312,1.017724,-0.001450,0.001761,-0.001500,-2.749077,-19.429255,43.885727,1016.117432
1.951711,-0.007076,0.047336,1.018700,-0.001425,0.000831,-0.000874,-2.770425,-19.431576,43.938515,1016.120850
1.961688,-0.006588,0.046848,1.015772,-0.000801,0.000216,-0.002061,-2.787503,-19.517433,44.047241,1016.120850
1.976945,-0.005856,0.045872,1.017480,0.001915,0.002014,0.000076,-2.801165,-19.586119,44.134224,1016.120850
1.985823,-0.007076,0.047336,1.018212,-0.002321,0.000779,-0.001727,-2.812095,-19.641068,44.203808,1016.120850
1.994669,-0.005612,0.047580,1.018212,0.000421,-0.000736,0.000104,-2.820839,-19.685026,44.259476,1016.122559
2.011285,-0.006588,0.045872,1.016992,0.001315,0.001079,-0.003502,-2.860213,-19.563393,44.485031,1016.122559
2.020601,-0.007076,0.046116,1.016016,-0.000810,0.002862,-0.000140,-2.891712,-19.466087,44.665474,1016.122559
2.038628,-0.006100,0.046604,1.018212,0.001907,0.000412,-0.000438,-2.916912,-19.388243,44.809830,1016.123535
2.054696,-0.006100,0.045872,1.017968,0.002175,0.000705,-0.001031,-2.937071,-19.353966,44.500473,1016.123535
2.072699,-0.006100,0.046360,1.018212,0.000937,-0.001108,-0.000113,-2.894917,-19.326546,44.252987,1016.114502
2.088779,-0.005856,0.046360,1.016260,0.002723,0.000712,-0.001612,-2.861194,-19.304609,44.054996,1016.114502
2.106789,-0.006832,0.046848,1.017236,0.001176,0.000400,-0.000984,-2.795361,-19.354259,43.911381,1016.114502
2.121717,-0.004636,0.047336,1.017236,0.000556,-0.001409,0.000534,-2.742695,-19.393980,43.796490,1016.118652
2.131674,-0.003904,0.047092,1.015772,0.000847,0.000417,0.000525,-2.700562,-19.425756,43.704578,1016.118652
2.149670,-0.007076,0.047092,1.018212,-0.000069,-0.000792,-0.001286,-2.666856,-19.451178,43.438946,1016.118652
