time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
84845.563000000,0.785397463,0.000000419,-0.614827881,-8.050590427,3.046858420,1.611641579,0.306607621,0.761658637,2.665178544
84845.579000000,0.785397401,0.000000452,-0.671119276,-8.621559226,3.231624645,1.768440798,0.328698121,0.806990036,2.659271754
84845.591000000,0.785397342,0.000000483,-0.723700455,-9.187540588,3.415291940,1.922163786,0.353721489,0.854023227,2.650269648
84845.605000000,0.785397275,0.000000517,-0.785809657,-9.802517887,3.610501158,2.100564651,0.382704841,0.903184050,2.637506052
84845.623000000,0.785397196,0.000000557,-0.862988054,-10.487385064,3.821615610,2.315414721,0.417273263,0.954970968,2.619510711
84845.640000000,0.785397113,0.000000599,-0.945905731,-11.205142314,4.040163927,2.548589929,0.459094402,1.009081832,2.594433758
84845.655000000,0.785397026,0.000000641,-1.033556052,-11.950559821,4.264406100,2.798069945,0.510983854,1.065145978,2.559472640
84845.667000000,0.785396940,0.000000683,-1.118138063,-12.696192413,4.488142374,3.046902104,0.576096588,1.122128356,2.511297562
84845.681000000,0.785396844,0.000000729,-1.218630492,-13.499829081,4.722626576,3.334467903,0.661302521,1.179808431,2.443400313
84845.693000000,0.785396745,0.000000776,-1.323323048,-14.325427187,4.959816454,3.637316387,0.776740299,1.236770269,2.345500685
84845.707000000,0.785396636,0.000000827,-1.442939252,-15.200664999,5.204312294,3.977310167,0.940860259,1.290898695,2.199366888
84845.724000000,0.785396513,0.000000884,-1.585656473,-16.144388426,5.458142745,4.371767953,1.184350967,1.337620649,1.974427430
84845.737000000,0.785396392,0.000000938,-1.723297671,-17.085329709,5.709812888,4.762557708,1.530896410,1.366648829,1.646644102
84845.751000000,0.785396261,0.000000999,-1.879941104,-18.065275398,5.999712165,5.197496487,1.928630592,1.357842898,1.267717677
84845.767000000,0.785396114,0.000001069,-2.065916678,-19.100358620,6.337814840,5.697462053,2.241759449,1.311245443,0.974021003
84845.785000000,0.785395952,0.000001145,-2.278530855,-20.189169278,6.684589058,6.255896932,2.462593383,1.246122675,0.773305662
84845.802000000,0.785395783,0.000001223,-2.506562335,-21.307682550,7.032483201,6.849059027,2.618576279,1.169041281,0.637932751
84845.817000000,0.785395609,0.000001302,-2.744300827,-22.443323293,7.379823125,7.465031613,2.732750515,1.083517623,0.544884042
84845.829000000,0.785395441,0.000001378,-2.970870825,-23.565590022,7.721687423,8.063714742,2.819304712,0.992352692,0.479875140
84845.843000000,0.785395254,0.000001461,-3.237022001,-24.729938321,8.066603086,8.735915822,2.888194636,0.896124550,0.433394613
84845.857000000,0.785395059,0.000001547,-3.522013922,-25.909358174,8.410849274,9.441450914,2.945095938,0.795489298,0.399882797
84845.869000000,0.785394865,0.000001631,-3.805431539,-27.081757826,8.751015727,10.142888683,2.993378915,0.691541658,0.375978657
84845.881000000,0.785394664,0.000001717,-4.104984268,-28.258507985,9.089025452,10.868299923,3.035708098,0.584712450,0.359405677
84845.893000000,0.785394451,0.000001808,-4.435364791,-29.443993624,9.424499232,11.638202214,3.073876886,0.475164298,0.348793212
84845.905000000,0.785394236,0.000001899,-4.770978280,-30.620012021,9.756057993,12.408007345,3.109129713,0.363514533,0.343181255
84845.919000000,0.785394001,0.000001998,-5.159191735,-31.801918879,10.084526686,13.245455540,0.001086232,2.892157843,-2.799278606
84845.931000000,0.785393769,0.000002082,-5.536583697,-33.002622054,10.256026466,14.056194317,0.042123983,3.008811204,-2.828870362
84845.946000000,0.785393512,0.000002180,-5.988037898,-34.181415608,10.483984458,14.947933821,0.077543562,3.127468889,-2.838705311
84845.963000000,0.785393239,0.000002291,-6.489286197,-35.327595434,10.771779334,15.876476603,0.111929192,-3.036315393,-2.829104445
84845.975000000,0.785392981,0.000002393,-6.949941912,-36.450357078,11.060303286,16.729079896,0.147995783,-2.916681845,-2.814167659
84845.987000000,0.785392725,0.000002495,-7.411029390,-37.550315432,11.343107888,17.556532065,0.187038502,-2.797484920,-2.793694079
84845.999000000,0.785392466,0.000002597,-7.887196787,-38.624614886,11.618004393,18.372774322,0.230560178,-2.679264372,-2.766679370
84846.013000000,0.785392185,0.000002708,-8.431698786,-39.662750372,11.877346476,19.222691408,0.280781079,-2.562325558,-2.731163845
84846.026000000,0.785391909,0.000002815,-8.969602848,-40.677516713,12.130911708,20.029974293,0.340407234,-2.447680449,-2.684757654
84846.040000000,0.785391622,0.000002926,-9.546923640,-41.657303304,12.372029054,20.831100406,0.413793763,-2.336378108,-2.623232448
84846.057000000,0.785391315,0.000003045,-10.195582871,-42.592523873,12.596212591,21.640831254,0.507622367,-2.229941953,-2.539975636
84846.072000000,0.785391015,0.000003160,-10.833381340,-43.506192988,12.815674416,22.394705725,0.631276746,-2.131210628,-2.425769738
84846.086000000,0.785390722,0.000003272,-11.454476273,-44.396952344,13.031158114,23.091678871,0.797822775,-2.044876761,-2.267702405
84846.099000000,0.785390435,0.000003381,-12.063586661,-45.267143940,13.243545517,23.738743423,1.022213652,-1.977221217,-2.050923418
84846.116000000,0.785390123,0.000003500,-12.769389845,-46.080693642,13.435548674,24.386868494,1.307728620,-1.936797158,-1.772005161
84846.127000000,0.785389848,0.000003602,-13.358607362,-46.911889266,13.634884980,24.940406766,1.623050468,-1.929107752,-1.462981205
84846.140000000,0.785389564,0.000003702,-13.982084908,-47.713889326,13.782455621,25.469578566,1.925409906,-1.944673332,-1.166839668
84846.152000000,0.785389291,0.000003793,-14.577331650,-48.504806157,13.913378499,25.952714456,2.183673987,-1.983958792,-0.914349974
84846.166000000,0.785389001,0.000003891,-15.239185854,-49.253259564,14.032733435,26.418752190,2.381797420,-2.042799863,-0.721395828
84846.180000000,0.785388713,0.000003988,-15.907045460,-49.979086549,14.149945956,26.848216308,2.527491259,-2.112972067,-0.580452147
84846.192000000,0.785388445,0.000004076,-16.512318335,-50.703176638,14.272613795,27.230908918,2.635242276,-2.188746699,-0.477244204
84846.204000000,0.785388179,0.000004164,-17.120821263,-51.405839060,14.391260894,27.584438925,2.716623870,-2.266774089,-0.400094877
84846.218000000,0.785387907,0.000004254,-17.760178904,-52.080981323,14.502138363,27.913954497,2.779544144,-2.344907134,-0.340947167
84846.232000000,0.785387630,0.000004345,-18.426924980,-52.731272176,14.605293395,28.218954438,2.829410409,-2.421892940,-0.294391844
84846.244000000,0.785387374,0.000004427,-19.026598831,-53.378320288,14.709920074,28.491664090,2.870032619,-2.496980510,-0.256769372
84846.261000000,0.785387084,0.000004522,-19.754146087,-53.982606038,14.797041713,28.750727445,2.903346006,-2.569627061,-0.225625949
84846.279000000,0.785386791,0.000004617,-20.502390162,-54.565846834,14.875693454,28.986181628,2.931114302,-2.639198606,-0.199262438
84846.295000000,0.785386512,0.000004705,-21.211544748,-55.136225928,14.950864253,29.196765925,2.954559038,-2.705365283,-0.176483557
84846.311000000,0.785386248,0.000004787,-21.874291731,-55.694410076,15.022345220,29.386041330,2.974739251,-2.768197365,-0.156266530
84846.322000000,0.785386022,0.000004855,-22.422363876,-56.247581729,15.094845671,29.555799061,2.992490247,-2.827924881,-0.137841286
84846.336000000,0.785385778,0.000004927,-23.035799670,-56.773043154,15.154953582,29.713971444,3.007918578,-2.884391047,-0.120392220
84846.349000000,0.785385550,0.000004993,-23.601501972,-57.282785321,15.209324749,29.858518540,3.021587871,-2.937627539,-0.103313270
84846.363000000,0.785385315,0.000005059,-24.199043490,-57.769263664,15.251987657,29.992644179,3.033654164,-2.987535707,-0.085805897
84846.380000000,0.785385062,0.000005130,-24.863394210,-58.229992594,15.279822420,30.116500341,3.044057357,-3.033859065,-0.067229177
84846.392000000,0.785384848,0.000005186,-25.408385330,-58.674613809,15.303510809,30.229598068,3.053173580,-3.077037380,-0.047683023
84846.404000000,0.785384648,0.000005234,-25.909386924,-59.099512980,15.319787375,30.334325992,3.060983474,-3.117332467,-0.027148507
