time,lat,lon,alt,vn,ve,vd,roll,pitch,yaw
24363.341000000,0.785393816,-0.000006163,-46.440998261,-23.425851560,-21.133024268,46.877997409,0.553155751,-0.615250071,-0.751978495
24363.367000000,0.785394029,-0.000007424,-48.148028007,-22.006045420,-25.684868798,48.723291722,0.791110879,-0.514247574,-0.788914071
24363.393000000,0.785394297,-0.000008770,-49.964090264,-20.308417894,-30.448163599,50.597031288,1.022511219,-0.417551291,-0.862601520
24363.419000000,0.785394619,-0.000010197,-51.906579866,-18.343201725,-35.376413119,52.464585675,1.252824675,-0.335620321,-0.968636553
24363.445000000,0.785394998,-0.000011687,-53.924427039,-16.138423445,-40.387489666,54.273602601,1.484102895,-0.278832884,-1.100921022
24363.469000000,0.785395430,-0.000013202,-55.887479821,-13.743655960,-45.370165584,55.973296432,1.714656764,-0.256393554,-1.250717282
24363.495000000,0.785395908,-0.000014782,-58.072540246,-11.181912072,-50.290966404,57.604086462,1.939710580,-0.277177343,-1.408993604
24363.521000000,0.785396436,-0.000016389,-60.333359426,-8.487633150,-55.038705543,59.135689982,2.153633229,-0.344839711,-1.563041656
24363.547000000,0.785397009,-0.000018017,-62.689823403,-5.721795347,-59.574201393,60.583893810,2.352268830,-0.450428807,-1.704730836
24363.574000000,0.785397623,-0.000019642,-65.073291872,-2.927521673,-63.844263337,61.967662704,2.535768538,-0.586715248,-1.827608426
24363.600000000,0.785398273,-0.000021258,-67.503845600,-0.136873685,-67.813013347,63.317568570,2.709879476,-0.747022123,-1.924072338
24363.623000000,0.785398951,-0.000022816,-69.814255526,2.629468674,-71.479491318,64.654896078,2.885984222,-0.921041182,-1.987217281
24363.649000000,0.785399654,-0.000024388,-72.327994110,5.325649837,-74.859329670,66.024739260,3.084799919,-1.100646617,-2.001396840
24363.673000000,0.785400372,-0.000025884,-74.707617586,7.973535886,-77.963810352,67.421493252,0.235051492,-1.866399442,1.240129255
24363.699000000,0.785401093,-0.000027400,-77.291963521,10.474021576,-80.991651239,68.895244965,0.756826667,-1.708477108,1.580304494
24363.725000000,0.785401823,-0.000028870,-79.909855006,12.910602970,-83.762411431,70.423408032,2.327397432,-1.693964758,2.984548704
24363.751000000,0.785402562,-0.000030289,-82.583462645,15.295042132,-86.218607619,71.997550558,2.879650422,-1.842342885,-2.899759413
24363.777000000,0.785403297,-0.000031643,-85.248784546,17.609903639,-88.445355277,73.596676220,3.070080108,-2.000676433,-2.852684632
24363.803000000,0.785404019,-0.000032937,-87.928891993,19.829774742,-90.473594777,75.202364069,0.047958436,-0.989977484,0.274434654
24363.827000000,0.785404697,-0.000034143,-90.438262089,21.898858918,-92.543272075,76.761590009,0.179486963,-0.848026532,0.288214078
24363.853000000,0.785405357,-0.000035336,-93.145467691,23.823630404,-94.425079614,78.316786033,0.280141094,-0.716091691,0.280107474
24363.877000000,0.785405972,-0.000036409,-95.639723417,25.628718294,-96.121872828,79.759786999,0.361338806,-0.595762205,0.261249974
24363.903000000,0.785406555,-0.000037466,-98.316437037,27.254903855,-97.628049317,81.155438457,0.428395705,-0.489003913,0.238363949
24363.929000000,0.785407089,-0.000038453,-100.969897108,28.696620969,-98.939287256,82.442798702,0.483908494,-0.396316216,0.215193771
24363.952000000,0.785407559,-0.000039318,-103.375199294,29.954650262,-100.059935460,83.567632714,0.529573568,-0.317109543,0.193967700
24363.978000000,0.785407979,-0.000040174,-105.954888390,30.975376926,-101.001332697,84.609515856,0.565981043,-0.252457590,0.177414318
24364.004000000,0.785408332,-0.000040962,-108.470372529,31.750881229,-101.760021081,85.512589823,0.593228940,-0.202031446,0.167136874
24364.028000000,0.785408606,-0.000041634,-110.701198641,32.288672904,-102.344597714,86.238678948,0.612403991,-0.164454935,0.163847759
24364.054000000,0.785408818,-0.000042305,-113.079432561,32.549596776,-102.782751636,86.875142522,0.623704002,-0.140517346,0.168977631
24364.078000000,0.785408945,-0.000042868,-115.156904970,32.557714024,-103.072444772,87.340756968,0.628197994,-0.128548319,0.182154552
24364.104000000,0.785409006,-0.000043442,-117.373380449,32.277630989,-103.246987316,87.724798930,0.626921878,-0.129689057,0.204342198
